speaker,speaker's job title,state,party,true counts,mostly true counts,half true counts,mostly false counts,false counts,pants on fire counts,count
Dan Mccready,US Representative Candidate,North Carolina,Democrat,1,0,3,0,0,0,4
Dan Crenshaw,US Representative,North Carolina,Republican,1,0,0,0,3,0,4
Daily World Update,Fake News Website,None,None,0,0,0,0,0,4,4
Daily Caller,News Website,"Washington, D.C.",None,0,0,0,0,2,0,4
Committee To Protect Florida,Organization,Florida,None,0,2,1,0,1,0,4
Cliff Stearns,Former US Representative,Florida,Republican,1,1,2,0,0,0,4
Claudia Tenney,US Representative,New York,Republican,0,0,1,1,0,2,4
City Of Atlanta,City,Georgia,None,1,0,1,1,1,0,4
Citizens For Transportation Mobility,Advocacy Group,Georgia,None,0,1,2,1,0,0,4
Chris Wallace,TV Show Host,None,None,0,1,3,0,0,0,4
Chris Van Hollen,US Senator,Maryland,Democrat,0,4,0,0,0,0,4
Chip Rogers,Former State Senator,Georgia,Republican,1,1,1,1,0,0,4
Chelsea Clinton,Writer,None,Democrat,0,0,1,1,0,0,4
Charlie Sykes,Political Commentator,Wisconsin,Talk show host,0,0,0,0,1,2,4
Charlie Justice,Member of County Commission,Florida,Democrat,2,0,1,0,0,1,4
Cecile Richards,Activist,New York,Democrat,0,2,2,0,0,0,4
Cathie Adams,Former Party Affiliation Chairman,Texas,Republican,0,0,1,1,1,1,4
Carlos Curbelo,Former US Representative,Florida,Republican,1,2,0,0,1,0,4
Candace Owens,Political Commentator,None,Republican,0,0,0,0,4,0,4
Campaign To Defend America,Advocacy Group,None,None,1,2,0,0,1,0,4
Cal Cunningham,Former State Senator,North Carolina,Democrat,0,1,1,2,0,0,4
C.W. Bill Young,Former US Representative,Florida,Republican,1,0,1,0,1,1,4
Brit Hume,Journalist,None,None,0,0,0,1,3,0,4
Bob Gibbs,US Representative,Ohio,Republican,2,1,0,0,0,1,4
Bob Casey,US Senator,Pennsylvania,Democrat,0,2,0,1,1,0,4
Bill Kristol,Political Commentator,"Washington, D.C.",None,0,3,0,0,1,0,4
Bill Haslam,Former Governor,Tennessee,Republican,1,0,1,0,1,0,4
Bill Cassidy,US Senator,Louisiana,Republican,0,0,0,2,1,1,4
Barry Smitherman,Former Commisioner of State Railroad Commission,Texas,Republican,1,0,1,0,0,1,4
Barney Frank,Former US Representative,Massachusetts,Democrat,0,0,2,1,0,0,4
Back To Basics,Political Action Committee,None,Democrat,0,1,1,0,2,0,4
Andrew White,Businessman,None,Democrat,0,2,1,0,1,0,4
Ami Bera,US Representative,California,Democrat,0,1,1,1,0,0,4
Americans For Responsible Solutions,Nonprofit Organization,None,None,0,2,1,1,0,0,4
Americannews.Com,Unknown Website,None,None,0,0,0,0,2,2,4
American Commitment,Nonprofit Organization,None,None,0,0,0,2,1,1,4
American Action Network,Nonprofit Organization,Florida,Republican,0,0,1,2,0,1,4
Amanda Fritz,Portland City Commissioner,Oregon,Democrat,0,2,0,1,1,0,4
Alan Hays,Supervisor of Elections,Florida,Republican,1,0,0,2,1,0,4
Zell Miller,Former US Senator,Georgia,None,0,2,0,0,1,0,3
Yvette Mcgee Brown,Former Associate Justice of State Supreme Court,Ohio,Democrat,3,0,0,0,0,0,3
Wisconsin Assembly Republicans,Party Affiliation,Wisconsin,Republican,0,0,1,1,1,0,3
We Are Ohio,Coalition,Ohio,None,0,1,0,2,0,0,3
Wayne Powell,State Senator Candidate,Virginia,Democrat,0,0,0,1,1,1,3
Vote No On 2,Advocacy Group,None,None,0,0,2,1,0,0,3
Virginia Foxx,US Representative,North Carolina,Republican,1,1,0,0,0,1,3
Viral Media Reports,Social Media,None,None,0,0,0,1,1,0,3
Victoria Taft,TV Show Host,Oregon,None,0,0,0,0,2,1,3
Vernon Jones,Former State Representative,Georgia,Democrat,0,1,1,0,0,1,3
Trimet,Regional Public Transit Agency,None,Organization,1,0,1,1,0,0,3
Trey Gowdy,Former US Representative,South Carolina,Republican,0,0,0,1,1,0,3
Travis Rowley,Party Affiliation Chairman,Rhode Island,Republican,0,0,1,1,1,0,3
Tom Wolf,Governor,Pennsylvania,Democrat,1,0,1,1,0,0,3
Tom Leppert,Former Mayor,Texas,Republican,1,1,0,0,1,0,3
Tom Harkin,US Senator,Iowa,Democrat,0,1,1,0,1,0,3
Tim Canova,US Representative Candidate,Florida,Democrat,0,2,1,0,0,0,3
Thomas Garrett Jr.,Former US Representative,Virginia,Republican,0,0,0,2,1,0,3
Theresa Greenfield,State Senator Candidate,Iowa,Democrat,1,1,1,0,0,0,3
The Tax Foundation,Think tank,"Washington, D.C.",None,0,1,2,0,0,0,3
Terry Gorman,Advocacy Group President,Rhode Island,Newsmaker,1,0,0,1,0,1,3
Ted Yoho,Former US Representative,Florida,Republican,1,0,0,1,1,0,3
Ted Lieu,US Representative,California,Democrat,0,2,1,0,0,0,3
Ted Deutch,US Representative,Florida,Democrat,1,0,0,1,0,0,3
Taxpayer Association Of Oregon,Organization,Oregon,None,0,0,2,0,1,0,3
Tavis Smiley,TV Show Host,California,None,0,0,1,1,0,0,3
Susan Collins,US Senator,Maine,Republican,1,0,1,0,1,0,3
Steven Costantino,Former State Superintendent of Public Instruction,Rhode Island,Democrat,0,1,0,0,1,0,3
Steve Poizner,Former State Insurance Commissioner,California,Republican,0,1,1,0,1,0,3
Steve Moore,Editor,None,None,0,0,1,1,1,0,3
Steve Doocy,TV Show Host,New York,Journalist,0,0,0,0,2,1,3
Stacey Campfield,Former State Senate,Tennessee,Republican,0,1,0,0,1,1,3
Special Operations Opsec Education Fund,Nonprofit Organization,None,None,0,0,1,1,1,0,3
Sonny Perdue,Former US Secretary of Agriculture,None,Republican,0,1,1,1,0,0,3
Sondy Pope,State Assembly,Wisconsin,Democrat,0,1,1,0,1,0,3
Sheri Gallo,City Council Member,Texas,None,0,0,1,1,0,1,3
Shelley Adler,Attorney,New Jersey,Democrat,0,0,0,1,2,0,3
Sheila Jackson Lee,US Representative,Texas,Democrat,0,0,0,2,1,0,3
Shawn Lindsay,Former State Representative,Oregon,Republican,0,0,0,1,1,0,3
Sebastian Gorka,Former Deputy Assistant to the US President,None,Republican,0,0,0,0,1,2,3
Sean Casten,US Representative,Illinois,Democrat,0,1,1,0,1,0,3
Scott Perry,US Representative,Pennsylvania,Republican,0,0,1,0,2,0,3
Scott Jones,,California,Republican,0,0,1,0,2,0,3
Scott Bruun,,Oregon,Republican,0,0,0,2,1,0,3
Sanford Bishop,,Georgia,Democrat,1,1,0,0,1,0,3
Sandy Pasch,,Wisconsin,Democrat,0,2,0,0,0,1,3
Sally Kohn,,,Columnist,0,1,1,0,1,0,3
Ryan Fournier,,,None,0,0,1,0,2,0,3
Rula Jebreal,,,None,0,1,1,0,0,0,3
Ron Ramsey,,Tennessee,Republican,0,0,0,0,2,1,3
Ron Klein,,Florida,Democrat,0,1,0,0,2,0,3
Rodney Frelinghuysen,,,Republican,1,1,0,1,0,0,3
Rodney Ellis,,Texas,Democrat,1,2,0,0,0,0,3
Rod Smith,,Florida,Democrat,0,1,1,0,1,0,3
Robert Pittenger,,,Republican,0,0,1,2,0,0,3
Robert Hagan,,Ohio,Democrat,0,1,2,0,0,0,3
Robert Gates,,,None,0,2,1,0,0,0,3
Robert Brown,,Georgia,Democrat,1,0,0,1,1,0,3
Rob Zerban,,,Democrat,0,0,0,0,1,1,3
Rob Woodall,,Georgia,Republican,1,0,2,0,0,0,3
Richard Codey,,New Jersey,Democrat,1,2,0,0,0,0,3
Richard Blumenthal,,Connecticut,Democrat,1,0,1,0,0,0,3
Rex Tillerson,,,Republican,1,0,1,1,0,0,3
Reid Ribble,,Wisconsin,Republican,0,0,1,0,1,1,3
Reaganwasright,,,None,0,0,0,0,0,3,3
Randi Shade,,Texas,Democrat,0,2,1,0,0,0,3
Ralph Reed,,,Republican,0,0,1,0,2,0,3
Public Citizen,,,None,2,1,0,0,0,0,3
Pink Pony,,,None,1,0,1,0,0,0,3
Pierre Thomas,,,None,0,0,1,1,0,0,3
Philip Levine,,,Democrat,0,0,0,3,0,0,3
Peter Kinder,,Missouri,Republican,1,1,0,0,0,1,3
Pete Snyder,,Virginia,Republican,0,0,1,0,2,0,3
Paul Workman,,Texas,Republican,1,1,0,1,0,0,3
Paul Junge,,,Republican,0,0,0,2,1,0,3
Patrick Lynch,,Rhode Island,Democrat,0,0,1,1,0,0,3
Patricia Morgan,,Rhode Island,Republican,0,1,1,1,0,0,3
Pat Robertson,,Virginia,Republican,0,0,1,1,0,1,3
Pat Roberts,,Kansas,Republican,1,0,0,1,1,0,3
Pat Boone,,,None,0,0,0,0,1,2,3
Ovide Lamontagne,,New Hampshire,Republican,0,0,2,0,0,0,3
Organizing For America,,,Democrat,0,0,2,0,0,1,3
One New Jersey,,,Democrat,0,2,1,0,0,0,3
Ocean State Policy Research Institute,,Rhode Island,Organization,0,0,0,0,2,1,3
No Casinos,,Florida,None,0,3,0,0,0,0,3
New Jersey Education Association,,,None,2,0,1,0,0,0,3
New Hampshire Republican Party,Party Affiliation,New Hampshire,Republican,0,2,0,1,0,0,3
National Taxpayers Union,,Virginia,None,0,0,2,0,1,0,3
Nancy Mcfarlane,,,Independent,1,0,1,1,0,0,3
Nancy Grace,,,None,0,0,0,2,0,0,3
Nan Orrock,,Georgia,Democrat,2,0,0,1,0,0,3
Msnbc,,,None,0,0,0,0,0,2,3
Moms Rising,,,Democrat,0,1,0,0,1,0,3
Mike Lee,,Utah,Republican,0,1,1,0,0,0,3
Mike Collins,,Georgia,Republican,0,1,1,1,0,0,3
Mike Bost,,,Republican,0,0,1,1,0,1,3
Michael Williams,,Texas,Republican,0,0,0,0,2,0,3
Michael Roberson,,Nevada,Republican,0,0,1,0,1,0,3
Michael Needham,,,Republican,0,1,0,2,0,0,3
Michael Madigan,,Illinois, Democrat,0,1,0,2,0,0,3
Michael Kearns,,,Democrat,1,0,0,0,1,1,3
Michael J. Gardiner,,,Republican,0,0,0,1,1,1,3
Michael Eric Dyson,,,None,0,0,1,1,0,0,3
Michael Caputo,,New York,Republican,0,1,0,1,1,0,3
Meg Whitman,,California,Republican,0,1,1,0,1,0,3
Mayors Against Illegal Guns,,,Organization,0,0,3,0,0,0,3
Maurice Ferre,,Florida,Democrat,1,0,1,1,0,0,3
Matthew Rosendale,,,Republican,0,0,0,1,0,2,3
Matt Miller,,California,None,1,1,0,0,0,0,3
Matt Bevin,,Kentucky,Republican,0,1,0,0,1,1,3
Mary Taylor,,Ohio,Republican,0,1,1,1,0,0,3
Mary Landrieu,,Louisiana,Democrat,0,2,0,0,1,0,3
Mary Jordan,,"Washington, D.C.",None,0,2,0,0,0,0,3
Mark Sanford,,South Carolina,Republican,1,0,0,0,2,0,3
Mark Miller,,Wisconsin,Democrat,1,0,0,1,1,0,3
Mark Meadows,,,Republican,0,0,1,1,1,0,3
Mark Herring,,Virginia,Democrat,1,1,0,1,0,0,3
Mark Hass,,Oregon,Democrat,0,1,1,0,1,0,3
Marion Hammer,,Florida,None,0,2,0,0,1,0,3
Marianne Williamson,,,Democrat,0,0,3,0,0,0,3
Maria Bartiromo,,New York,Journalist,0,0,0,1,2,0,3
Marc Morial,,Louisiana,Democrat,2,0,1,0,0,0,3
Marc Molinaro,,,Republican,2,0,0,0,1,0,3
Lois Kolkhorst,,Texas,Republican,0,0,2,1,0,0,3
Lois Frankel,,Florida,Democrat,0,0,0,2,0,1,3
Liz Cheney,,,Republican,0,1,0,0,1,1,3
Libraries Yes! Committee,,,None,3,0,0,0,0,0,3
Lee May,,Georgia,Democrat,1,2,0,0,0,0,3
Larry Pressler,,South Dakota,Independent,1,0,0,0,1,0,3
Larry Pratt,,,None,0,0,1,0,1,1,3
Kris Jordan,,Ohio,Republican,1,1,1,0,0,0,3
Kim Guadagno,,,Republican,0,0,1,0,2,0,3
Kevin Rader,,Florida,Democrat,1,1,0,0,0,0,3
Kevin Dewine,,,Republican,1,1,0,1,0,0,3
Ken Plum,,Virginia,Democrat,0,1,0,0,1,0,3
Kelly Cassidy,,Illinois,Democrat,0,0,0,2,0,0,3
Katrina Shankland,,Wisconsin,Democrat,0,0,0,2,1,0,3
Kathleen Peters,,Florida,Republican,0,1,0,1,1,0,3
Kathleen Clyde,,Ohio,Democrat,3,0,0,0,0,0,3
Kathie Tovo,,Texas,Democrat,0,2,0,1,0,0,3
Kanye West,,,None,0,0,1,1,0,0,3
Julie Lassa,,Wisconsin,Democrat,0,0,2,1,0,0,3
Judicial Watch,,,Organization,0,0,0,2,1,0,3
Judd Gregg,,,Republican,2,1,0,0,0,0,3
Joy Behar,,,None,0,0,1,0,2,0,3
Joseph Mcnamara,,,Democrat,0,0,1,0,2,0,3
Joseph Cryan,,New Jersey,Democrat,1,0,0,1,1,0,3
Jon Tester,,,Democrat,1,0,2,0,0,0,3
Jon Keyser,,Colorado,Republican,0,0,0,0,1,1,3
John Stemberger,,Florida,Republican,0,0,0,1,2,0,3
John Morgan,,Florida,Democrat,0,0,1,1,1,0,3
John Ludlow,,,Republican,1,0,1,1,0,0,3
John Hickenlooper,,,Democrat,1,1,1,0,0,0,3
John Garamendi,,California,Democrat,0,1,1,1,0,0,3
John Fleming,,Louisiana,Republican,1,0,0,0,2,0,3
John Faso,,,Republican,1,1,0,0,1,0,3
John Eaves,,Georgia,Democrat,1,1,0,1,0,0,3
John Delaney,,,Democrat,0,1,0,0,2,0,3
John Albers,,,Republican,0,1,0,0,1,0,3
Joe Sestak,,Pennsylvania,Democrat,0,1,1,1,0,0,3
Joe Defelice,,,Republican,0,0,1,1,0,0,3
Jody Hice,,,Republican,0,0,0,0,3,0,3
Jim Whelan,,,Democrat,0,1,2,0,0,0,3
Jim Rubens,,New Hampshire,Republican,0,1,0,1,1,0,3
Jim Mcdermott,,,Democrat,0,0,1,1,1,0,3
Jim Francesconi,,Oregon,None,0,1,1,0,1,0,3
Jill Stein,,Massachusetts,Green Party,1,0,0,0,1,1,3
Jesse Ventura,,Minnesota,Independent,0,1,0,0,0,1,3
Jess Mcintosh,,,Democrat,1,0,0,1,0,0,3
Jerry Jones,,Texas,None,0,0,0,0,1,1,3
Jennifer Beck,,,Republican,1,0,0,0,2,0,3
Jeff Tittel,,,None,0,0,1,0,1,1,3
Jeff Kruse,,Oregon,Republican,0,0,1,0,0,2,3
Jeff Jackson,,,Democrat,0,0,1,1,1,0,3
Jeanine Pirro,,New York,Republican,0,0,0,0,3,0,3
Jason Smith,,,Republican,1,1,0,1,0,0,3
Jason Conger,,Oregon,Republican,0,1,0,0,1,0,3
Janet Adkins,,Florida,Republican,0,1,1,1,0,0,3
Jane Kidd,,,Democrat,0,1,0,0,1,0,3
James Woods,,,None,1,0,0,0,1,1,3
James Florio,,New Jersey,Democrat,1,1,0,0,0,0,3
James Dobson,,,Republican,1,1,0,0,0,0,3
Jack Conway,,Kentucky,Democrat,0,2,0,0,1,0,3
Jack Berry,,Virginia,None,0,1,0,1,0,0,3
Henry Cuellar,,Texas,Democrat,1,1,0,1,0,0,3
Helen Glover,,Rhode Island,Talk show host,1,0,0,1,1,0,3
Heather Mcghee,,,None,1,0,1,1,0,0,3
Heather Fiorentino,,Florida,Republican,1,0,1,0,0,1,3
Health Care For America Now,,,None,0,0,0,2,1,0,3
Greta Van Susteren,,,None,1,1,0,0,1,0,3
Greg Murphy,,,Republican,0,1,0,0,2,0,3
Gina Hinojosa,State Representative,Texas,Democrat,0,2,1,0,0,0,3
George Nee,President of the Rhode Island AFL-CIO,Rhode Island,Labor leader,0,0,1,2,0,0,3
George Holding,Former US Representative,North Carolina,Republican,0,0,2,0,1,0,3
George Barker,,Virginia,Democrat,1,0,0,1,0,0,3
Gayle Smith,,,Democrat,0,2,1,0,0,0,3
Gavin Mcinnes,,,None,0,0,0,0,1,1,3
Gary Kelly,,,Business leader,0,1,0,1,0,0,3
Garry Mccarthy,,,None,0,0,1,1,1,0,3
Freedom Partners,,Virginia,None,0,0,1,0,1,1,3
Fred Clark,,Wisconsin,Democrat,0,1,1,1,0,0,3
Franklin Graham,,,None,0,0,1,1,1,0,3
Florida Education Association,,Florida,None,0,0,1,0,2,0,3
Ezekiel Emanuel,,,Democrat,0,0,2,1,0,0,3
Eugene Mckenna,,,Newsmaker,1,1,0,0,0,0,3
Eric Swalwell,,,Democrat,0,1,2,0,0,0,3
Eric Schneiderman,,,Democrat,3,0,0,0,0,0,3
Eric Holder,,"Washington, D.C.",Democrat,2,1,0,0,0,0,3
Ellyn Bogdanoff,,Florida ,Republican,0,0,1,1,1,0,3
Elliott Naishtat,,Texas,Democrat,2,0,1,0,0,0,3
"Eddie Lucio, Jr.",,,Democrat,1,1,1,0,0,0,3
E.W. Jackson,,,Republican,1,1,0,1,0,0,3
Duane Hall,,North Carolina,Democrat,0,2,0,0,1,0,3
Doug Collins,,Georgia,Republican,0,1,0,1,1,0,3
Don Zimmerman,,Texas,Republican,0,1,0,2,0,0,3
Don Lemon,,Georgia,Journalist,1,1,0,0,1,0,3
Don Blankenship,,,Republican,0,0,0,1,1,1,3
Don Balfour,,,Republican,1,2,0,0,0,0,3
Dick Armey,,,Republican,0,0,1,0,2,0,3
Diamond And Silk,,,None,0,1,0,0,2,0,3
Democratic Party Of Georgia,,,Democrat,0,0,1,1,1,0,3
Delaine Eastin,,,Democrat,1,1,0,0,1,0,3
Debbie Dooley,,Georgia,Tea Party member,0,1,1,0,1,0,3
Dean Cannon,,Florida,Republican,2,0,0,1,0,0,3
Dawson Hodgson,,Rhode Island,Republican,1,0,0,1,1,0,3
David Frum,,,None,0,1,1,1,0,0,3
David Crowley,,,Democrat,0,1,0,1,1,0,3
David Alameel,,Texas,Democrat,0,0,1,0,1,1,3
Dave Yost,,Ohio,Republican,1,1,0,1,0,0,3
Danny Tarkanian,,Nevada,Republican,0,1,1,1,0,0,3
Daniel Mckee,,,Democrat,0,2,1,0,0,0,3
Dana Wachs,,,Democrat,2,1,0,0,0,0,3
Dana Perino,,,Republican,0,0,0,1,1,1,3
Dallas Woodhouse,,,Republican,0,2,0,0,1,0,3
Cynthia Nixon,,,Democrat,1,1,0,1,0,0,3
Curt Schilling,,,Republican,0,0,0,2,0,0,3
Credo Action,,,Organization,0,0,0,1,1,0,3
Courageous Conservatives Pac,,,Republican,0,0,0,2,0,0,3
Conservative Daily Post,,Nevada,Organization,0,0,0,0,1,2,3
Colin Van Ostern,,New Hampshire,Democrat,0,0,0,2,0,0,3
Clay Pell,,Rhode Island,Democrat,0,2,1,0,0,0,3
Christopher L. Smith,,,Democrat,0,1,2,0,0,0,3
Christopher Blazejewski,,Rhode Island,Democrat,2,0,0,0,1,0,3
Christine Whitman,,New Jersey,Republican,0,2,0,0,0,0,3
Chris Dudley,,Oregon,Republican,0,1,1,0,0,1,3
Chris Coons,,Delaware,Democrat,1,0,1,1,0,0,3
Chet Edwards,,Texas,Democrat,1,0,0,0,2,0,3
Cheri Toalson Reisch,,,Republican,0,1,1,1,0,0,3
Charlotte Bergmann,,Tennessee,Republican,0,0,0,0,2,1,3
Charles Van Zant,,Florida,Republican,0,0,1,0,1,1,3
Cathy Mcmorris Rodgers,US Representative,"Washington, D.C.",Republican,0,0,3,0,0,0,3
Catherine Taylor,,Rhode Island,Republican,1,0,0,0,1,0,3
Catherine Cortez Masto,US Senator,Nevada,Democrat,0,1,1,0,1,0,3
Carolyn Medeiros,,Rhode Island,Newsmaker,1,0,0,1,0,0,3
Caroline Casagrande,,New Jersey,Republican,0,2,0,0,0,0,3
Building A Better Ohio,,,None,1,1,0,1,0,0,3
Bud Chiles,,Florida,Independent,2,0,1,0,0,0,3
Bruce Elfant,Travis County Tax Assessor-collector,Texas,Democrat,2,1,0,0,0,0,3
Bruce Braley,US Representative,Iowa,Democrat,0,1,0,0,2,0,3
Brigid Shea,Former Member of Austin City Council,Texas,Democrat,1,1,1,0,0,0,3
Brian Kolb,Assemblymember,New York,Republican,0,0,2,0,1,0,3
Brad Avakian,,,State official,0,1,0,0,1,0,3
Bono,,,None,1,1,1,0,0,0,3
Bob Schieffer,,"Washington, D.C.",Journalist,1,0,0,0,1,0,3
Bob Graham,,Florida,Democrat,0,1,1,1,0,0,3
Bob Beckel,Political Analyst,"Washington, D.C.",Democrat,1,0,1,0,1,0,3
Bill Johnson,,Ohio,Republican,0,0,0,2,1,0,3
Bill Hammond,,Texas,Republican,1,1,0,1,0,0,3
Bill Batchelder,State representative,Ohio,Republican,0,1,1,0,1,3,3
Beverly Hall,,,None,0,0,0,0,2,1,3
Bart Stupak,,Michigan,Democrat,1,1,0,0,1,0,3
Barbara Comstock,,Virginia,Republican,1,0,0,1,1,0,3
Austin Scott,,Georgia,Republican,1,0,0,1,1,0,3
Asamericanasapplepie.Org,,,None,0,0,0,0,0,3,3
Arthenia Joyner,,Florida,Democrat,1,1,0,0,0,0,3
Ari Melber,,,None,0,0,2,0,0,0,3
Ann Wagner,US Representative,Missouri,Republican,1,0,0,1,1,0,3
Ann Kirkpatrick,US Representative,Arizona,Democrat,0,0,3,0,0,0,3
Ameripac,Political Action Committee,None,Republican,0,0,1,1,0,1,3
Americans For Prosperity: Florida,Conservative Organization,Florida,None,0,0,0,2,0,1,3
Americans For Prosperity Georgia Chapter,Conservative Organization,Georgia,None,0,1,2,0,0,0,3
Americans For Job Security,Conservative Organization,None,None,0,0,3,0,0,0,3
American Leadhership Pac,Political Action Committee,None,Organization,0,2,1,0,0,0,3
American Civil Liberties Union Of Florida,Nonprofit Organization,Florida,None,0,1,1,0,1,0,3
Allen Boyd,Former US Representative,Florida,Democrat,0,1,0,0,1,0,3
Afscme People,Political Action Fund ,None,None,0,1,1,0,0,0,3
Abigail Spanberger,US Representative,Virginia,Democrat,0,1,1,0,1,0,3
60 Plus Association,Conservative Advocacy Group,Florida,None,0,0,0,2,0,1,3
Young Conservatives Of Texas,Conservative Youth Organization,Texas,Republican,0,0,0,0,1,0,2
Woody Degan,,Tennessee,Republican,0,0,0,0,0,1,2
Wolf Blitzer,,,None,1,1,0,0,0,0,2
Wisconsin State Senate Democrats,,,Democrat,0,1,0,1,0,0,2
Wisconsin Professional Police Association,,Wisconsin,None,0,1,0,1,0,0,2
William Perry,,Georgia,None,0,1,1,0,0,0,2
William Johnson,,,Organization,0,0,0,0,0,1,2
William Benson Huber,,,Tea Party member,0,0,0,0,0,1,2
William Barber,,North Carolina,Activist,0,1,0,0,1,0,2
Will Kraus,State Senator,Missouri,Republican,0,0,1,0,0,0,2
Wesley Clark,,Arkansas,Democrat,0,0,1,0,1,0,2
Wes Riddle,,Texas,Republican,0,0,0,0,2,0,2
Wayne Christian,,Texas,Republican,1,0,1,0,0,0,2
Voters First Ohio,,Ohio,None,0,0,0,1,0,0,2
Virginia Tea Party Patriots,,,None,0,0,2,0,0,0,2
Virginia House Democratic Caucus,,,Democrat,0,1,0,0,1,0,2
Vincent Barrella,,New Jersey,Independent,0,1,0,0,0,0,2
Victoria Seaman,,Nevada,Republican,0,1,0,0,0,0,2
Verified Politics,,,None,0,0,0,0,2,0,2
Valerie Jarrett,,Illinois,Democrat,0,0,0,1,1,0,2
Valarie Wilson,,Georgia,Democrat,0,0,1,0,0,0,2
Val Demings,,Florida,Democrat,0,1,0,1,0,0,2
Usa Snich,,,None,0,0,0,0,1,1,2
Usa In Front,,,None,0,0,0,0,0,2,2
Urban Intellectuals,,,Democrat,0,0,0,0,0,1,2
Upendra Chivukula,,New Jersey,Democrat,0,1,0,1,0,0,2
Universal News Portal,,,None,0,0,0,0,0,2,2
United For Care,,,Organization,0,1,0,1,0,0,2
Undergroundnewsreport.Com,,,None,0,0,0,0,0,2,2
Uber,,None,None,0,1,1,0,0,0,2
U.S. Dairy Export Council,,,None,0,0,0,1,0,0,2
Trusted Leadership Pac,Political Action Committee,None,Republican,0,0,0,0,1,0,2
Troy Balderson,,,Republican,0,0,2,0,0,0,2
Trebor Banstetter,,Georgia,None,1,1,0,0,0,0,2
Tony Perkins,,,Republican,0,0,1,0,1,0,2
Tommy Tuberville,,,Republican,0,0,0,0,2,0,2
Tom Steyer,,California,Democrat,0,0,1,1,0,0,2
Tom Rooney,,Florida,Republican,0,1,0,1,0,0,2
Tom Reed,,,Republican,0,0,1,0,1,0,2
Tom Petri,Former US Representative,Wisconsin,Republican,0,0,0,0,1,0,2
Tom Niehaus,,Ohio,Republican,1,0,0,0,0,1,2
Tom Marino,,Pennsylvania,Republican,0,0,1,1,1,0,2
Todd Wilcox,Businessman,None,Republican,0,0,1,0,1,0,2
Todd Rokita,Attorney General,Indiana,Republican,0,0,1,1,0,0,2
Tina Smith,,,Democrat,1,0,0,1,0,0,2
Timothy Geithner,,,Democrat,1,0,1,0,0,0,2
Tim Scott,,,Republican,0,0,0,1,1,0,2
Tim Mcginty,,,Democrat,1,1,0,0,0,0,2
Tim Lee,,,Republican,0,1,1,0,0,0,2
Tim Knopp,,,Republican,0,1,1,0,0,0,2
Tim Grendell,,Ohio,Republican,1,0,0,0,1,0,2
Tim Echols,,Georgia,Republican,0,1,1,0,0,0,2
Tim Carpenter,,,Democrat,1,0,0,0,1,0,2
Thom Hartmann,,,None,0,1,0,0,0,1,2
Theseattletribune.Com,,,None,0,0,0,0,0,2,2
Thenewyorkevening.Com,,,None,0,0,0,0,0,2,2
The Liberty Raise,,,None,0,0,0,0,0,2,2
The Family Foundation,,,Organization,1,1,0,0,0,0,2
The Associated Press,,,None,2,0,0,0,0,0,2
The Agenda Project,,,None,0,1,0,0,1,0,2
Texas Values,,,None,0,0,0,1,1,0,2
Teresa Fedor,,Ohio,Democrat,1,0,0,1,0,0,2
Ted Gatsas,,New Hampshire,Republican,0,0,0,1,0,0,2
Ted Ankrum,Retired Navy Captain,Texas,Democrat,0,1,0,0,1,0,2
Taylor Swift,,,None,0,2,0,0,0,0,2
Sydney Batch,State Senator,North Carolina,Democrat,0,0,0,0,2,0,2
Susana Martinez,,New Mexico,Republican,0,0,1,1,0,0,2
Susan Stimpson,Former Chairwoman of the Stafford County Board of Supervisors.,Virginia,Republican,0,1,0,0,1,0,2
Susan Combs,,Texas,Republican,0,0,0,0,1,1,2
Susan B. Anthony List,,,Republican,0,0,0,0,1,1,2
"Students, Parents And Teachers Supporting Marshall Tuck",,,Organization,0,0,0,0,2,0,2
Stuart Varney,,,Republican,0,0,0,1,1,0,2
Steven Rattner,,,Democrat,0,2,0,0,0,0,2
Steven Frias,,Rhode Island,Republican,1,1,0,0,0,0,2
Steve Oroho,,New Jersey,Republican,0,1,0,1,0,0,2
Steve Ogden,,Texas,Republican,0,1,1,0,0,0,2
Steve Munisteri,,Texas,Republican,0,0,2,0,0,0,2
Steve Mnuchin,,,None,0,0,1,0,1,0,2
Steve Mccraw,,,None,1,0,1,0,0,0,2
Steve Kagen,Former US Representative,Wisconsin,Democrat,0,0,0,0,0,2,2
Steve Israel,,New York,Democrat,1,1,0,0,0,0,2
Steve Doell,,Oregon,Newsmaker,1,1,0,0,0,0,2
Steve Deace,,,Republican,0,0,1,0,0,0,2
Steve Crisafulli,,,Republican,0,1,1,0,0,0,2
Steve Chabot,,Ohio,Republican,0,0,0,1,1,0,2
Steve Bullock,,,Democrat,0,1,0,1,0,0,2
Steve Brown,,Georgia,Republican,0,0,1,0,1,0,2
Steve Bannon,,,Republican,0,0,1,0,1,0,2
Stephen Wise,,,Republican,0,0,1,0,1,0,2
Stephen Miller,,,Republican,0,0,0,1,0,1,2
Stephen Martin,,Virginia,Republican,0,0,0,0,2,0,2
Stephen Carter,,,Democrat,0,1,0,0,1,0,2
Stephen Archambault,,,Democrat,0,1,0,0,0,1,2
Stephanie Desilva,,,Democrat,0,0,1,0,0,0,2
Stefani Carter,,Texas,Republican,0,0,2,0,0,0,2
Starbucks,,,None,1,0,0,0,0,1,2
Solar Energy Fairness,,Nevada,Organization,0,0,1,0,0,0,2
